TIME(1-Perth),week,hour,1-Perth,TIME(2-XIANGGANG),2-XIANGGANG,TIME(3-PALO),3-PALO,TIME(4-DUNDEE),4-DUNDEE,TIME(5-BOULDER),5-BOULDER, TIME(6-Auchterarder),6-Auchterarder, TIME(7-Kinross),7-Kinross,Time(8-Pitlochry),8-Pitlochry,Time(9-Crieff),9-Crieff,Time(10-Aberfeldy),10-Aberfeldy,Time(11-Dunkeld),11-Dunkeld,Time(12-Blairgowrie),12-Blairgowrie,13-Beijing
2019/7/1 10:00,1,10 ,11,2022/5/17 10:00,12,2020/11/1 10:00,9,2018/7/1 10:00,26,2021/8/1 10:00,7,2019/7/1 10:00,1,2019/7/1 10:00,6,2019/7/1 10:00,1,2019/7/1 10:00,2,2019/7/1 10:00,1,2019/7/1 10:00,0,2019/7/1 10:00,1,577
2019/7/1 11:00,1,11 ,13,2022/5/17 11:00,14,2020/11/1 11:00,10,2018/7/1 11:00,29,2021/8/1 11:00,3,2019/7/1 11:00,0,2019/7/1 11:00,4,2019/7/1 11:00,1,2019/7/1 11:00,2,2019/7/1 11:00,1,2019/7/1 11:00,0,2019/7/1 11:00,1,668
2019/7/1 12:00,1,12 ,13,2022/5/17 12:00,15,2020/11/1 12:00,13,2018/7/1 12:00,31,2021/8/1 12:00,5,2019/7/1 12:00,0,2019/7/1 12:00,6,2019/7/1 12:00,1,2019/7/1 12:00,2,2019/7/1 12:00,2,2019/7/1 12:00,0,2019/7/1 12:00,0,733
2019/7/1 13:00,1,13 ,12,2022/5/17 13:00,13,2020/11/1 13:00,13,2018/7/1 13:00,30,2021/8/1 13:00,6,2019/7/1 13:00,0,2019/7/1 13:00,8,2019/7/1 13:00,2,2019/7/1 13:00,2,2019/7/1 13:00,1,2019/7/1 13:00,0,2019/7/1 13:00,0,817
2019/7/1 14:00,1,14 ,10,2022/5/17 14:00,12,2020/11/1 14:00,14,2018/7/1 14:00,33,2021/8/1 14:00,10,2019/7/1 14:00,0,2019/7/1 14:00,8,2019/7/1 14:00,1,2019/7/1 14:00,2,2019/7/1 14:00,1,2019/7/1 14:00,0,2019/7/1 14:00,0,899
2019/7/1 15:00,1,15 ,10,2022/5/17 15:00,15,2020/11/1 15:00,10,2018/7/1 15:00,34,2021/8/1 15:00,8,2019/7/1 15:00,1,2019/7/1 15:00,8,2019/7/1 15:00,1,2019/7/1 15:00,2,2019/7/1 15:00,1,2019/7/1 15:00,0,2019/7/1 15:00,0,962
2019/7/1 16:00,1,16 ,11,2022/5/17 16:00,14,2020/11/1 16:00,9,2018/7/1 16:00,33,2021/8/1 16:00,5,2019/7/1 16:00,1,2019/7/1 16:00,8,2019/7/1 16:00,1,2019/7/1 16:00,2,2019/7/1 16:00,0,2019/7/1 16:00,0,2019/7/1 16:00,0,950
2019/7/1 17:00,1,17 ,11,2022/5/17 17:00,14,2020/11/1 17:00,10,2018/7/1 17:00,33,2021/8/1 17:00,5,2019/7/1 17:00,0,2019/7/1 17:00,8,2019/7/1 17:00,1,2019/7/1 17:00,2,2019/7/1 17:00,1,2019/7/1 17:00,1,2019/7/1 17:00,1,923
2019/7/1 18:00,1,18 ,10,2022/5/17 18:00,14,2020/11/1 18:00,10,2018/7/1 18:00,32,2021/8/1 18:00,6,2019/7/1 18:00,0,2019/7/1 18:00,8,2019/7/1 18:00,1,2019/7/1 18:00,1,2019/7/1 18:00,1,2019/7/1 18:00,1,2019/7/1 18:00,0,860
2019/7/1 19:00,1,19 ,7,2022/5/17 19:00,13,2020/11/1 19:00,8,2018/7/1 19:00,28,2021/8/1 19:00,3,2019/7/1 19:00,0,2019/7/1 19:00,4,2019/7/1 19:00,1,2019/7/1 19:00,1,2019/7/1 19:00,1,2019/7/1 19:00,0,2019/7/1 19:00,0,800
2019/7/1 20:00,1,20 ,7,2022/5/17 20:00,12,2020/11/1 20:00,8,2018/7/1 20:00,31,2021/8/1 20:00,3,2019/7/1 20:00,0,2019/7/1 20:00,4,2019/7/1 20:00,1,2019/7/1 20:00,1,2019/7/1 20:00,1,2019/7/1 20:00,0,2019/7/1 20:00,0,791
2019/7/1 21:00,1,21 ,6,2022/5/17 21:00,10,2020/11/1 21:00,5,2018/7/1 21:00,28,2021/8/1 21:00,2,2019/7/1 21:00,0,2019/7/1 21:00,4,2019/7/1 21:00,1,2019/7/1 21:00,1,2019/7/1 21:00,1,2019/7/1 21:00,0,2019/7/1 21:00,0,755
2019/7/1 22:00,1,22 ,5,2022/5/17 22:00,10,2020/11/1 22:00,4,2018/7/1 22:00,29,2021/8/1 22:00,1,2019/7/1 22:00,0,2019/7/1 22:00,4,2019/7/1 22:00,1,2019/7/1 22:00,1,2019/7/1 22:00,1,2019/7/1 22:00,0,2019/7/1 22:00,0,697
2019/7/1 23:00,1,23 ,5,2022/5/17 23:00,7,2020/11/1 23:00,3,2018/7/1 23:00,31,2021/8/1 23:00,1,2019/7/1 23:00,0,2019/7/1 23:00,4,2019/7/1 23:00,1,2019/7/1 23:00,1,2019/7/1 23:00,1,2019/7/1 23:00,0,2019/7/1 23:00,0,657
2019/7/2 0:00,2,0 ,5,2022/5/18 0:00,5,2020/11/2 0:00,1,2018/7/2 0:00,29,2021/8/2 0:00,1,2019/7/2 0:00,0,2019/7/2 0:00,4,2019/7/2 0:00,1,2019/7/2 0:00,1,2019/7/2 0:00,1,2019/7/2 0:00,0,2019/7/2 0:00,0,610
2019/7/2 1:00,2,1 ,5,2022/5/18 1:00,8,2020/11/2 1:00,0,2018/7/2 1:00,29,2021/8/2 1:00,1,2019/7/2 1:00,0,2019/7/2 1:00,4,2019/7/2 1:00,1,2019/7/2 1:00,1,2019/7/2 1:00,1,2019/7/2 1:00,0,2019/7/2 1:00,0,589
2019/7/2 2:00,2,2 ,5,2022/5/18 2:00,4,2020/11/2 2:00,0,2018/7/2 2:00,28,2021/8/2 2:00,1,2019/7/2 2:00,0,2019/7/2 2:00,4,2019/7/2 2:00,1,2019/7/2 2:00,1,2019/7/2 2:00,1,2019/7/2 2:00,0,2019/7/2 2:00,0,576
2019/7/2 3:00,2,3 ,5,2022/5/18 3:00,5,2020/11/2 3:00,0,2018/7/2 3:00,27,2021/8/2 3:00,1,2019/7/2 3:00,0,2019/7/2 3:00,4,2019/7/2 3:00,1,2019/7/2 3:00,1,2019/7/2 3:00,1,2019/7/2 3:00,0,2019/7/2 3:00,0,576
2019/7/2 4:00,2,4 ,5,2022/5/18 4:00,4,2020/11/2 4:00,1,2018/7/2 4:00,29,2021/8/2 4:00,1,2019/7/2 4:00,0,2019/7/2 4:00,4,2019/7/2 4:00,1,2019/7/2 4:00,1,2019/7/2 4:00,1,2019/7/2 4:00,0,2019/7/2 4:00,0,577
2019/7/2 5:00,2,5 ,5,2022/5/18 5:00,5,2020/11/2 5:00,1,2018/7/2 5:00,29,2021/8/2 5:00,1,2019/7/2 5:00,0,2019/7/2 5:00,4,2019/7/2 5:00,1,2019/7/2 5:00,1,2019/7/2 5:00,1,2019/7/2 5:00,0,2019/7/2 5:00,0,587
2019/7/2 6:00,2,6 ,5,2022/5/18 6:00,8,2020/11/2 6:00,2,2018/7/2 6:00,28,2021/8/2 6:00,2,2019/7/2 6:00,0,2019/7/2 6:00,4,2019/7/2 6:00,1,2019/7/2 6:00,1,2019/7/2 6:00,1,2019/7/2 6:00,0,2019/7/2 6:00,0,660
2019/7/2 7:00,2,7 ,7,2022/5/18 7:00,8,2020/11/2 7:00,4,2018/7/2 7:00,27,2021/8/2 7:00,4,2019/7/2 7:00,0,2019/7/2 7:00,4,2019/7/2 7:00,1,2019/7/2 7:00,1,2019/7/2 7:00,1,2019/7/2 7:00,0,2019/7/2 7:00,0,979
2019/7/2 8:00,2,8 ,9,2022/5/18 8:00,11,2020/11/2 8:00,5,2018/7/2 8:00,23,2021/8/2 8:00,3,2019/7/2 8:00,0,2019/7/2 8:00,4,2019/7/2 8:00,1,2019/7/2 8:00,2,2019/7/2 8:00,1,2019/7/2 8:00,0,2019/7/2 8:00,0,1315
2019/7/2 9:00,2,9 ,9,2022/5/18 9:00,11,2020/11/2 9:00,5,2018/7/2 9:00,26,2021/8/2 9:00,5,2019/7/2 9:00,0,2019/7/2 9:00,4,2019/7/2 9:00,2,2019/7/2 9:00,2,2019/7/2 9:00,1,2019/7/2 9:00,0,2019/7/2 9:00,1,1438
2019/7/2 10:00,2,10 ,8,2022/5/18 10:00,14,2020/11/2 10:00,7,2018/7/2 10:00,27,2021/8/2 10:00,6,2019/7/2 10:00,0,2019/7/2 10:00,4,2019/7/2 10:00,2,2019/7/2 10:00,2,2019/7/2 10:00,1,2019/7/2 10:00,1,2019/7/2 10:00,1,1515
2019/7/2 11:00,2,11 ,9,2022/5/18 11:00,15,2020/11/2 11:00,9,2018/7/2 11:00,22,2021/8/2 11:00,6,2019/7/2 11:00,0,2019/7/2 11:00,2,2019/7/2 11:00,1,2019/7/2 11:00,2,2019/7/2 11:00,1,2019/7/2 11:00,0,2019/7/2 11:00,1,1582
2019/7/2 12:00,2,12 ,13,2022/5/18 12:00,14,2020/11/2 12:00,9,2018/7/2 12:00,28,2021/8/2 12:00,6,2019/7/2 12:00,0,2019/7/2 12:00,4,2019/7/2 12:00,1,2019/7/2 12:00,2,2019/7/2 12:00,1,2019/7/2 12:00,0,2019/7/2 12:00,1,1611
2019/7/2 13:00,2,13 ,13,2022/5/18 13:00,15,2020/11/2 13:00,10,2018/7/2 13:00,30,2021/8/2 13:00,6,2019/7/2 13:00,0,2019/7/2 13:00,4,2019/7/2 13:00,1,2019/7/2 13:00,2,2019/7/2 13:00,1,2019/7/2 13:00,1,2019/7/2 13:00,1,1599
2019/7/2 14:00,2,14 ,14,2022/5/18 14:00,14,2020/11/2 14:00,9,2018/7/2 14:00,33,2021/8/2 14:00,5,2019/7/2 14:00,0,2019/7/2 14:00,6,2019/7/2 14:00,1,2019/7/2 14:00,2,2019/7/2 14:00,1,2019/7/2 14:00,1,2019/7/2 14:00,1,1572
2019/7/2 15:00,2,15 ,14,2022/5/18 15:00,13,2020/11/2 15:00,5,2018/7/2 15:00,32,2021/8/2 15:00,5,2019/7/2 15:00,1,2019/7/2 15:00,4,2019/7/2 15:00,1,2019/7/2 15:00,2,2019/7/2 15:00,1,2019/7/2 15:00,0,2019/7/2 15:00,0,1571
2019/7/2 16:00,2,16 ,14,2022/5/18 16:00,13,2020/11/2 16:00,6,2018/7/2 16:00,32,2021/8/2 16:00,2,2019/7/2 16:00,1,2019/7/2 16:00,4,2019/7/2 16:00,1,2019/7/2 16:00,2,2019/7/2 16:00,1,2019/7/2 16:00,0,2019/7/2 16:00,1,1564
2019/7/2 17:00,2,17 ,11,2022/5/18 17:00,15,2020/11/2 17:00,4,2018/7/2 17:00,30,2021/8/2 17:00,6,2019/7/2 17:00,0,2019/7/2 17:00,6,2019/7/2 17:00,2,2019/7/2 17:00,2,2019/7/2 17:00,1,2019/7/2 17:00,1,2019/7/2 17:00,1,1444
2019/7/2 18:00,2,18 ,10,2022/5/18 18:00,14,2020/11/2 18:00,3,2018/7/2 18:00,27,2021/8/2 18:00,6,2019/7/2 18:00,1,2019/7/2 18:00,6,2019/7/2 18:00,2,2019/7/2 18:00,2,2019/7/2 18:00,1,2019/7/2 18:00,1,2019/7/2 18:00,1,1270
2019/7/2 19:00,2,19 ,7,2022/5/18 19:00,12,2020/11/2 19:00,2,2018/7/2 19:00,29,2021/8/2 19:00,6,2019/7/2 19:00,1,2019/7/2 19:00,4,2019/7/2 19:00,1,2019/7/2 19:00,1,2019/7/2 19:00,1,2019/7/2 19:00,0,2019/7/2 19:00,1,1152
2019/7/2 20:00,2,20 ,7,2022/5/18 20:00,11,2020/11/2 20:00,2,2018/7/2 20:00,26,2021/8/2 20:00,3,2019/7/2 20:00,1,2019/7/2 20:00,2,2019/7/2 20:00,1,2019/7/2 20:00,1,2019/7/2 20:00,1,2019/7/2 20:00,0,2019/7/2 20:00,0,1093
2019/7/2 21:00,2,21 ,7,2022/5/18 21:00,9,2020/11/2 21:00,1,2018/7/2 21:00,26,2021/8/2 21:00,3,2019/7/2 21:00,0,2019/7/2 21:00,2,2019/7/2 21:00,1,2019/7/2 21:00,1,2019/7/2 21:00,1,2019/7/2 21:00,0,2019/7/2 21:00,0,1002
2019/7/2 22:00,2,22 ,6,2022/5/18 22:00,10,2020/11/2 22:00,0,2018/7/2 22:00,23,2021/8/2 22:00,1,2019/7/2 22:00,0,2019/7/2 22:00,4,2019/7/2 22:00,1,2019/7/2 22:00,1,2019/7/2 22:00,1,2019/7/2 22:00,0,2019/7/2 22:00,0,928
2019/7/2 23:00,2,23 ,5,2022/5/18 23:00,7,2020/11/2 23:00,1,2018/7/2 23:00,27,2021/8/2 23:00,0,2019/7/2 23:00,0,2019/7/2 23:00,2,2019/7/2 23:00,1,2019/7/2 23:00,1,2019/7/2 23:00,1,2019/7/2 23:00,0,2019/7/2 23:00,0,864
2019/7/3 0:00,3,0 ,5,2022/5/19 0:00,4,2020/11/3 0:00,1,2018/7/3 0:00,25,2021/8/3 0:00,0,2019/7/3 0:00,0,2019/7/3 0:00,2,2019/7/3 0:00,1,2019/7/3 0:00,1,2019/7/3 0:00,1,2019/7/3 0:00,0,2019/7/3 0:00,0,833
2019/7/3 1:00,3,1 ,5,2022/5/19 1:00,6,2020/11/3 1:00,1,2018/7/3 1:00,25,2021/8/3 1:00,0,2019/7/3 1:00,0,2019/7/3 1:00,2,2019/7/3 1:00,1,2019/7/3 1:00,1,2019/7/3 1:00,1,2019/7/3 1:00,0,2019/7/3 1:00,0,807
2019/7/3 2:00,3,2 ,5,2022/5/19 2:00,4,2020/11/3 2:00,1,2018/7/3 2:00,26,2021/8/3 2:00,0,2019/7/3 2:00,0,2019/7/3 2:00,2,2019/7/3 2:00,1,2019/7/3 2:00,1,2019/7/3 2:00,1,2019/7/3 2:00,0,2019/7/3 2:00,0,803
2019/7/3 3:00,3,3 ,5,2022/5/19 3:00,3,2020/11/3 3:00,1,2018/7/3 3:00,25,2021/8/3 3:00,0,2019/7/3 3:00,0,2019/7/3 3:00,2,2019/7/3 3:00,1,2019/7/3 3:00,1,2019/7/3 3:00,1,2019/7/3 3:00,0,2019/7/3 3:00,0,788
2019/7/3 4:00,3,4 ,5,2022/5/19 4:00,3,2020/11/3 4:00,1,2018/7/3 4:00,24,2021/8/3 4:00,0,2019/7/3 4:00,0,2019/7/3 4:00,2,2019/7/3 4:00,1,2019/7/3 4:00,1,2019/7/3 4:00,1,2019/7/3 4:00,0,2019/7/3 4:00,0,792
2019/7/3 5:00,3,5 ,5,2022/5/19 5:00,5,2020/11/3 5:00,3,2018/7/3 5:00,24,2021/8/3 5:00,1,2019/7/3 5:00,0,2019/7/3 5:00,4,2019/7/3 5:00,1,2019/7/3 5:00,1,2019/7/3 5:00,1,2019/7/3 5:00,0,2019/7/3 5:00,0,801
2019/7/3 6:00,3,6 ,6,2022/5/19 6:00,7,2020/11/3 6:00,2,2018/7/3 6:00,25,2021/8/3 6:00,1,2019/7/3 6:00,0,2019/7/3 6:00,4,2019/7/3 6:00,1,2019/7/3 6:00,1,2019/7/3 6:00,1,2019/7/3 6:00,0,2019/7/3 6:00,0,850
2019/7/3 7:00,3,7 ,6,2022/5/19 7:00,11,2020/11/3 7:00,5,2018/7/3 7:00,24,2021/8/3 7:00,3,2019/7/3 7:00,0,2019/7/3 7:00,4,2019/7/3 7:00,1,2019/7/3 7:00,1,2019/7/3 7:00,1,2019/7/3 7:00,0,2019/7/3 7:00,0,1143
2019/7/3 8:00,3,8 ,8,2022/5/19 8:00,17,2020/11/3 8:00,8,2018/7/3 8:00,24,2021/8/3 8:00,5,2019/7/3 8:00,0,2019/7/3 8:00,4,2019/7/3 8:00,2,2019/7/3 8:00,2,2019/7/3 8:00,1,2019/7/3 8:00,0,2019/7/3 8:00,1,1439
2019/7/3 9:00,3,9 ,11,2022/5/19 9:00,14,2020/11/3 9:00,13,2018/7/3 9:00,24,2021/8/3 9:00,7,2019/7/3 9:00,0,2019/7/3 9:00,4,2019/7/3 9:00,2,2019/7/3 9:00,2,2019/7/3 9:00,1,2019/7/3 9:00,1,2019/7/3 9:00,0,1527
2019/7/3 10:00,3,10 ,10,2022/5/19 10:00,15,2020/11/3 10:00,12,2018/7/3 10:00,25,2021/8/3 10:00,5,2019/7/3 10:00,0,2019/7/3 10:00,6,2019/7/3 10:00,1,2019/7/3 10:00,2,2019/7/3 10:00,1,2019/7/3 10:00,1,2019/7/3 10:00,0,1568
2019/7/3 11:00,3,11 ,11,2022/5/19 11:00,15,2020/11/3 11:00,10,2018/7/3 11:00,24,2021/8/3 11:00,7,2019/7/3 11:00,0,2019/7/3 11:00,4,2019/7/3 11:00,1,2019/7/3 11:00,2,2019/7/3 11:00,1,2019/7/3 11:00,0,2019/7/3 11:00,0,1619
2019/7/3 12:00,3,12 ,10,2022/5/19 12:00,15,2020/11/3 12:00,9,2018/7/3 12:00,33,2021/8/3 12:00,8,2019/7/3 12:00,0,2019/7/3 12:00,4,2019/7/3 12:00,1,2019/7/3 12:00,2,2019/7/3 12:00,1,2019/7/3 12:00,0,2019/7/3 12:00,0,1658
2019/7/3 13:00,3,13 ,10,2022/5/19 13:00,14,2020/11/3 13:00,13,2018/7/3 13:00,32,2021/8/3 13:00,7,2019/7/3 13:00,0,2019/7/3 13:00,6,2019/7/3 13:00,1,2019/7/3 13:00,2,2019/7/3 13:00,1,2019/7/3 13:00,0,2019/7/3 13:00,0,1659
2019/7/3 14:00,3,14 ,9,2022/5/19 14:00,14,2020/11/3 14:00,15,2018/7/3 14:00,32,2021/8/3 14:00,7,2019/7/3 14:00,1,2019/7/3 14:00,6,2019/7/3 14:00,1,2019/7/3 14:00,2,2019/7/3 14:00,1,2019/7/3 14:00,0,2019/7/3 14:00,1,1578
2019/7/3 15:00,3,15 ,8,2022/5/19 15:00,14,2020/11/3 15:00,12,2018/7/3 15:00,31,2021/8/3 15:00,9,2019/7/3 15:00,1,2019/7/3 15:00,4,2019/7/3 15:00,2,2019/7/3 15:00,2,2019/7/3 15:00,1,2019/7/3 15:00,1,2019/7/3 15:00,1,1591
2019/7/3 16:00,3,16 ,7,2022/5/19 16:00,16,2020/11/3 16:00,9,2018/7/3 16:00,32,2021/8/3 16:00,9,2019/7/3 16:00,0,2019/7/3 16:00,2,2019/7/3 16:00,2,2019/7/3 16:00,2,2019/7/3 16:00,1,2019/7/3 16:00,0,2019/7/3 16:00,1,1606
2019/7/3 17:00,3,17 ,9,2022/5/19 17:00,14,2020/11/3 17:00,5,2018/7/3 17:00,32,2021/8/3 17:00,7,2019/7/3 17:00,1,2019/7/3 17:00,8,2019/7/3 17:00,1,2019/7/3 17:00,2,2019/7/3 17:00,1,2019/7/3 17:00,1,2019/7/3 17:00,0,1462
2019/7/3 18:00,3,18 ,10,2022/5/19 18:00,15,2020/11/3 18:00,6,2018/7/3 18:00,28,2021/8/3 18:00,6,2019/7/3 18:00,1,2019/7/3 18:00,8,2019/7/3 18:00,2,2019/7/3 18:00,2,2019/7/3 18:00,1,2019/7/3 18:00,1,2019/7/3 18:00,1,1329
2019/7/3 19:00,3,19 ,10,2022/5/19 19:00,16,2020/11/3 19:00,5,2018/7/3 19:00,30,2021/8/3 19:00,8,2019/7/3 19:00,1,2019/7/3 19:00,6,2019/7/3 19:00,1,2019/7/3 19:00,1,2019/7/3 19:00,1,2019/7/3 19:00,0,2019/7/3 19:00,1,1240
2019/7/3 20:00,3,20 ,8,2022/5/19 20:00,15,2020/11/3 20:00,3,2018/7/3 20:00,30,2021/8/3 20:00,7,2019/7/3 20:00,1,2019/7/3 20:00,6,2019/7/3 20:00,1,2019/7/3 20:00,1,2019/7/3 20:00,1,2019/7/3 20:00,0,2019/7/3 20:00,0,1197
2019/7/3 21:00,3,21 ,8,2022/5/19 21:00,12,2020/11/3 21:00,3,2018/7/3 21:00,32,2021/8/3 21:00,3,2019/7/3 21:00,0,2019/7/3 21:00,6,2019/7/3 21:00,1,2019/7/3 21:00,1,2019/7/3 21:00,1,2019/7/3 21:00,0,2019/7/3 21:00,0,1145
2019/7/3 22:00,3,22 ,7,2022/5/19 22:00,12,2020/11/3 22:00,1,2018/7/3 22:00,28,2021/8/3 22:00,1,2019/7/3 22:00,0,2019/7/3 22:00,2,2019/7/3 22:00,1,2019/7/3 22:00,1,2019/7/3 22:00,1,2019/7/3 22:00,0,2019/7/3 22:00,0,1060
2019/7/3 23:00,3,23 ,5,2022/5/19 23:00,10,2020/11/3 23:00,1,2018/7/3 23:00,29,2021/8/3 23:00,1,2019/7/3 23:00,0,2019/7/3 23:00,2,2019/7/3 23:00,1,2019/7/3 23:00,1,2019/7/3 23:00,1,2019/7/3 23:00,0,2019/7/3 23:00,0,985
2019/7/4 0:00,4,0 ,5,2022/5/20 0:00,7,2020/11/4 0:00,1,2018/7/4 0:00,28,2021/8/4 0:00,1,2019/7/4 0:00,0,2019/7/4 0:00,2,2019/7/4 0:00,1,2019/7/4 0:00,1,2019/7/4 0:00,1,2019/7/4 0:00,0,2019/7/4 0:00,0,944
2019/7/4 1:00,4,1 ,5,2022/5/20 1:00,7,2020/11/4 1:00,1,2018/7/4 1:00,28,2021/8/4 1:00,1,2019/7/4 1:00,0,2019/7/4 1:00,2,2019/7/4 1:00,1,2019/7/4 1:00,1,2019/7/4 1:00,1,2019/7/4 1:00,0,2019/7/4 1:00,0,904
2019/7/4 2:00,4,2 ,5,2022/5/20 2:00,7,2020/11/4 2:00,1,2018/7/4 2:00,28,2021/8/4 2:00,1,2019/7/4 2:00,0,2019/7/4 2:00,2,2019/7/4 2:00,1,2019/7/4 2:00,1,2019/7/4 2:00,1,2019/7/4 2:00,0,2019/7/4 2:00,0,897
2019/7/4 3:00,4,3 ,5,2022/5/20 3:00,10,2020/11/4 3:00,1,2018/7/4 3:00,26,2021/8/4 3:00,1,2019/7/4 3:00,0,2019/7/4 3:00,2,2019/7/4 3:00,1,2019/7/4 3:00,1,2019/7/4 3:00,1,2019/7/4 3:00,0,2019/7/4 3:00,1,883
2019/7/4 4:00,4,4 ,5,2022/5/20 4:00,9,2020/11/4 4:00,2,2018/7/4 4:00,27,2021/8/4 4:00,1,2019/7/4 4:00,0,2019/7/4 4:00,2,2019/7/4 4:00,1,2019/7/4 4:00,1,2019/7/4 4:00,1,2019/7/4 4:00,0,2019/7/4 4:00,0,887
2019/7/4 5:00,4,5 ,5,2022/5/20 5:00,8,2020/11/4 5:00,2,2018/7/4 5:00,28,2021/8/4 5:00,1,2019/7/4 5:00,0,2019/7/4 5:00,2,2019/7/4 5:00,1,2019/7/4 5:00,1,2019/7/4 5:00,1,2019/7/4 5:00,0,2019/7/4 5:00,0,890
2019/7/4 6:00,4,6 ,5,2022/5/20 6:00,9,2020/11/4 6:00,3,2018/7/4 6:00,27,2021/8/4 6:00,4,2019/7/4 6:00,0,2019/7/4 6:00,2,2019/7/4 6:00,1,2019/7/4 6:00,1,2019/7/4 6:00,1,2019/7/4 6:00,0,2019/7/4 6:00,0,949
2019/7/4 7:00,4,7 ,5,2022/5/20 7:00,12,2020/11/4 7:00,4,2018/7/4 7:00,27,2021/8/4 7:00,4,2019/7/4 7:00,0,2019/7/4 7:00,2,2019/7/4 7:00,1,2019/7/4 7:00,1,2019/7/4 7:00,1,2019/7/4 7:00,0,2019/7/4 7:00,1,1262
2019/7/4 8:00,4,8 ,6,2022/5/20 8:00,15,2020/11/4 8:00,8,2018/7/4 8:00,26,2021/8/4 8:00,5,2019/7/4 8:00,0,2019/7/4 8:00,4,2019/7/4 8:00,1,2019/7/4 8:00,1,2019/7/4 8:00,1,2019/7/4 8:00,0,2019/7/4 8:00,0,1539
2019/7/4 9:00,4,9 ,9,2022/5/20 9:00,15,2020/11/4 9:00,7,2018/7/4 9:00,26,2021/8/4 9:00,7,2019/7/4 9:00,1,2019/7/4 9:00,6,2019/7/4 9:00,1,2019/7/4 9:00,1,2019/7/4 9:00,2,2019/7/4 9:00,0,2019/7/4 9:00,0,1628
